Средний балл,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный
3.625,17.142857142857142,3.4285714285714284,1.2857142857142858,0
3.4166666666666665,17.142857142857142,3.4285714285714284,1.2857142857142858,0
3.9737529294656952,17.142857142857142,3.4285714285714284,1.2857142857142858,0
4.072916666666667,6.8,0.0,0.4,1
4.06,6.8,0.0,0.4,1
3.7884615384615374,6.8,0.0,0.4,1
4.022222222222222,6.8,0.0,0.4,1
4.130434782608695,6.8,0.0,0.4,1
3.8125,6.8,0.0,0.4,1
3.671875,6.8,0.0,0.4,1
3.8260869565217392,6.8,0.0,0.4,1
3.9737529294656952,6.8,0.0,0.4,1
3.457627118644068,2.75,0.0,1.25,0
3.6354166666666665,2.75,0.0,1.25,0
3.419642857142857,2.75,0.0,1.25,0
3.4444444444444446,2.75,0.0,1.25,0
3.1547619047619047,2.75,0.0,1.25,0
3.269230769230769,2.75,0.0,1.25,0
3.5303030303030303,2.75,0.0,1.25,0
3.333333333333333,2.75,0.0,1.25,0
3.9737529294656952,2.75,0.0,1.25,0
3.339622641509434,9.5,10.625,1.25,0
3.1923076923076925,9.5,10.625,1.25,0
3.3421052631578947,9.5,10.625,1.25,0
3.3404255319148937,9.5,10.625,1.25,0
2.9714285714285715,9.5,10.625,1.25,0
3.0625,9.5,10.625,1.25,0
3.111111111111111,9.5,10.625,1.25,0
2.8,9.5,10.625,1.25,0
3.9737529294656952,9.5,10.625,1.25,0
3.8068181818181817,6.0,0.0,0.5,1
4.0,6.0,0.0,0.5,1
4.057692307692308,6.0,0.0,0.5,1
4.244897959183674,6.0,0.0,0.5,1
3.875,6.0,0.0,0.5,1
3.7222222222222223,6.0,0.0,0.5,1
3.571428571428572,6.0,0.0,0.5,1
3.690476190476191,6.0,0.0,0.5,1
3.9737529294656952,6.0,0.0,0.5,1
3.2906976744186047,12.375,12.0,1.125,0
3.1578947368421053,12.375,12.0,1.125,0
3.1486486486486487,12.375,12.0,1.125,0
3.305555555555556,12.375,12.0,1.125,0
2.9642857142857144,12.375,12.0,1.125,0
3.06,12.375,12.0,1.125,0
3.0625,12.375,12.0,1.125,0
2.6984687609687614,12.375,12.0,1.125,0
3.9737529294656952,12.375,12.0,1.125,0
4.166666666666667,9.25,9.125,2.5,1
3.783783783783784,9.25,9.125,2.5,1
3.952380952380953,9.25,9.125,2.5,1
4.047619047619048,9.25,9.125,2.5,1
4.288461538461538,9.25,9.125,2.5,1
3.907407407407408,9.25,9.125,2.5,1
4.045454545454546,9.25,9.125,2.5,1
3.411764705882353,9.25,9.125,2.5,1
3.9737529294656952,9.25,9.125,2.5,1
4.416666666666667,12.285714285714286,4.0,2.142857142857143,1
4.541666666666667,12.285714285714286,4.0,2.142857142857143,1
4.267441860465116,12.285714285714286,4.0,2.142857142857143,1
4.519607843137255,12.285714285714286,4.0,2.142857142857143,1
4.714285714285714,12.285714285714286,4.0,2.142857142857143,1
4.482758620689655,12.285714285714286,4.0,2.142857142857143,1
4.068181818181818,12.285714285714286,4.0,2.142857142857143,1
3.9583333333333335,12.285714285714286,4.0,2.142857142857143,1
3.9737529294656952,12.285714285714286,4.0,2.142857142857143,1
4.090909090909091,3.4,2.6,0.6,1
4.047619047619048,3.4,2.6,0.6,1
4.13265306122449,3.4,2.6,0.6,1
3.7857142857142856,3.4,2.6,0.6,1
3.571428571428572,3.4,2.6,0.6,1
3.695121951219512,3.4,2.6,0.6,1
3.46875,3.4,2.6,0.6,1
3.1052631578947367,3.4,2.6,0.6,1
3.9737529294656952,3.4,2.6,0.6,1
3.7788461538461537,1.6,6.2,1.6,1
4.294117647058823,1.6,6.2,1.6,1
4.109090909090909,1.6,6.2,1.6,1
4.102564102564102,1.6,6.2,1.6,1
3.838709677419355,1.6,6.2,1.6,1
3.670731707317073,1.6,6.2,1.6,1
3.965517241379312,1.6,6.2,1.6,1
3.25,1.6,6.2,1.6,1
3.9737529294656952,1.6,6.2,1.6,1
4.153846153846154,13.375,3.25,2.125,1
4.170212765957447,13.375,3.25,2.125,1
3.967741935483871,13.375,3.25,2.125,1
4.175,13.375,3.25,2.125,1
4.074074074074074,13.375,3.25,2.125,1
3.924242424242424,13.375,3.25,2.125,1
4.092592592592593,13.375,3.25,2.125,1
4.0,13.375,3.25,2.125,1
3.9737529294656952,13.375,3.25,2.125,1
4.387755102040816,1.4,0.0,0.4,1
4.413793103448276,1.4,0.0,0.4,1
4.358974358974359,1.4,0.0,0.4,1
4.242857142857143,1.4,0.0,0.4,1
4.385714285714286,1.4,0.0,0.4,1
4.203125,1.4,0.0,0.4,1
4.333333333333333,1.4,0.0,0.4,1
4.277777777777778,1.4,0.0,0.4,1
4.305555555555555,1.4,0.0,0.4,1
4.886363636363637,4.0,3.2222222222222223,1.0,1
4.933333333333334,4.0,3.2222222222222223,1.0,1
4.914285714285715,4.0,3.2222222222222223,1.0,1
4.979166666666667,4.0,3.2222222222222223,1.0,1
5.0,4.0,3.2222222222222223,1.0,1
4.928571428571429,4.0,3.2222222222222223,1.0,1
4.9,4.0,3.2222222222222223,1.0,1
4.948979591836735,4.0,3.2222222222222223,1.0,1
5.0,4.0,3.2222222222222223,1.0,1
3.976744186046512,5.0,2.555555555555556,0.2222222222222222,1
4.32258064516129,5.0,2.555555555555556,0.2222222222222222,1
4.261904761904762,5.0,2.555555555555556,0.2222222222222222,1
4.08,5.0,2.555555555555556,0.2222222222222222,1
4.303030303030303,5.0,2.555555555555556,0.2222222222222222,1
4.153846153846154,5.0,2.555555555555556,0.2222222222222222,1
4.190476190476191,5.0,2.555555555555556,0.2222222222222222,1
4.215909090909091,5.0,2.555555555555556,0.2222222222222222,1
4.083333333333333,5.0,2.555555555555556,0.2222222222222222,1
4.659090909090909,4.428571428571429,1.4285714285714286,0.7142857142857143,1
4.580645161290323,4.428571428571429,1.4285714285714286,0.7142857142857143,1
4.631578947368421,4.428571428571429,1.4285714285714286,0.7142857142857143,1
4.866666666666666,4.428571428571429,1.4285714285714286,0.7142857142857143,1
4.720588235294118,4.428571428571429,1.4285714285714286,0.7142857142857143,1
4.65,4.428571428571429,1.4285714285714286,0.7142857142857143,1
4.8,4.428571428571429,1.4285714285714286,0.7142857142857143,1
4.756410256410256,4.428571428571429,1.4285714285714286,0.7142857142857143,1
4.7368421052631575,4.428571428571429,1.4285714285714286,0.7142857142857143,1
4.1395348837209305,4.285714285714286,0.0,0.8571428571428571,1
4.178571428571429,4.285714285714286,0.0,0.8571428571428571,1
4.461538461538462,4.285714285714286,0.0,0.8571428571428571,1
4.5,4.285714285714286,0.0,0.8571428571428571,1
4.403225806451613,4.285714285714286,0.0,0.8571428571428571,1
4.224137931034483,4.285714285714286,0.0,0.8571428571428571,1
4.428571428571429,4.285714285714286,0.0,0.8571428571428571,1
4.4125,4.285714285714286,0.0,0.8571428571428571,1
4.131578947368421,4.285714285714286,0.0,0.8571428571428571,1
4.142857142857143,4.428571428571429,0.0,0.8571428571428571,1
4.266666666666667,4.428571428571429,0.0,0.8571428571428571,1
4.512820512820513,4.428571428571429,0.0,0.8571428571428571,1
4.458333333333333,4.428571428571429,0.0,0.8571428571428571,1
4.387096774193548,4.428571428571429,0.0,0.8571428571428571,1
4.209677419354839,4.428571428571429,0.0,0.8571428571428571,1
4.285714285714286,4.428571428571429,0.0,0.8571428571428571,1
4.421052631578948,4.428571428571429,0.0,0.8571428571428571,1
4.078947368421052,4.428571428571429,0.0,0.8571428571428571,1
3.5681818181818183,3.1666666666666665,1.5,0.6666666666666666,1
3.735294117647059,3.1666666666666665,1.5,0.6666666666666666,1
3.975,3.1666666666666665,1.5,0.6666666666666666,1
4.114285714285714,3.1666666666666665,1.5,0.6666666666666666,1
4.035714285714286,3.1666666666666665,1.5,0.6666666666666666,1
3.5,3.1666666666666665,1.5,0.6666666666666666,1
3.9166666666666665,3.1666666666666665,1.5,0.6666666666666666,1
3.840909090909091,3.1666666666666665,1.5,0.6666666666666666,1
3.6944444444444446,3.1666666666666665,1.5,0.6666666666666666,1
3.404255319148936,2.8,0.0,0.6,0
3.774193548387097,2.8,0.0,0.6,0
3.4651162790697674,2.8,0.0,0.6,0
4.145161290322581,2.8,0.0,0.6,0
